Category,Feature,Level,Status,Details
Left Panel,Remove "Venture Management" subtitle,UI,✅ Done,Removed from sidebar below the Injini logo
Left Panel,INJINI logo in white text,UI,✅ Done,Changed SVG fill from #333333 to #FFFFFF
Left Panel,Cohort tabs (1-4 + Overall),UI,✅ Done,"Replaced old tabs (Dashboard, Job Indicators, etc.) with Cohort 1, 2, 3, 4 & Overall"
Left Panel,Remove Export Report,UI,✅ Done,Export Report button removed from sidebar
Left Panel,Tab isolation (only selected tab data visible),UI,✅ Done,JavaScript switchTab() ensures only active cohort data is shown
Business Health,Sales Growth - Individual,Individual,✅ Done,"5-tier formula based on months of data (<6, 6-11, 12-17, 18-23, 24+)"
Business Health,Sales Growth - Cohort,Cohort,✅ Done,Median of individual sales growth values per cohort
Business Health,Sales Growth - Program,Program,✅ Done,"Time-Weighted Average (TWA): Σ(Cohort Growth × Exposure) / Σ(Exposure)"
Business Health,Sales Growth % Table with Red Flags,Individual,✅ Done,"Per-fellow table showing Sales Growth %, Profit Growth %, and red flag badges for negative growth"
Business Health,Sales Graph - Individual,Individual,✅ Done,"Line graph per fellow, X=Month, Y=Sales, with linear trend line"
Business Health,Sales Graph - Cohort,Cohort,✅ Done,"Cohort Total dashed line (sum of all fellows), with linear trend line"
Business Health,Sales Graph - Program,Program,✅ Done,"Overall tab line chart with numbered months (Month 1, 2, 3... up to 36), with trend line"
Business Health,Profit Growth - Individual,Individual,✅ Done,"Same 5-tier formula as Sales but with ABS(denominator) for losses"
Business Health,Profit Growth - Cohort,Cohort,✅ Done,Median of individual profit growth values per cohort
Business Health,Profit Growth - Program,Program,✅ Done,"Time-Weighted Average (TWA)"
Business Health,Profit Graph - Individual,Individual,✅ Done,"Line graph per fellow, X=Month, Y=Profit, with linear trend line"
Business Health,Profit Graph - Cohort,Cohort,✅ Done,"Cohort Total dashed line, with linear trend line"
Business Health,Profit Graph - Program,Program,✅ Done,"Overall tab line chart with numbered months, with trend line"
Jobs,Total Jobs - Individual,Individual,✅ Done,Total jobs reported at current month per fellow in Jobs table
